"treatment","focal_plant","seeds","n_comp_T","n_comp_R","n_comp_H","n_pol_O","n_pol_B","n_pol_F","g","s"
"link","H",7.5,0,1,0,0,10,0,0.591,0.485
"link","H",12.5,0,2,0,0,10,0,0.591,0.485
"link","H",7.5,0,0,0,0,10,0,0.591,0.485
"link","H",5,0,0,0,0,10,0,0.591,0.485
"link","H",7.5,3,0,0,0,10,0,0.591,0.485
"link","H",5,1,2,0,0,10,0,0.591,0.485
"link","H",7.5,0,0,0,0,10,0,0.591,0.485
"link","H",5,0,0,0,0,10,0,0.591,0.485
"link","H",10,1,1,0,0,10,0,0.591,0.485
"link","H",5,2,0,0,0,10,0,0.591,0.485
"link","H",2.5,1,0,0,0,10,0,0.591,0.485
"link","H",5,1,1,0,0,10,0,0.591,0.485
"link","H",2.5,2,0,0,0,10,0,0.591,0.485
"link","H",2.5,0,1,0,0,10,0,0.591,0.485
"link","H",2.5,0,1,0,0,10,0,0.591,0.485
"link","H",5,0,1,0,0,10,0,0.591,0.485
"link","H",5,0,0,0,0,10,0,0.591,0.485
"link","H",5,0,0,0,0,10,0,0.591,0.485
"link","H",2.5,0,0,0,0,10,0,0.591,0.485
"link","R",16.5,0,1,0,0,10,0,0.453,0.713
"link","R",104.5,1,0,0,0,10,0,0.453,0.713
"link","R",16.5,1,0,0,0,10,0,0.453,0.713
"link","R",16.5,0,1,0,0,10,0,0.453,0.713
"link","R",77,0,1,0,0,10,0,0.453,0.713
"link","R",44,0,1,0,0,10,0,0.453,0.713
"link","R",22,0,1,0,0,10,0,0.453,0.713
"link","R",11,0,2,0,0,10,0,0.453,0.713
"link","R",93.5,1,2,0,0,10,0,0.453,0.713
"link","R",16.5,0,3,0,0,10,0,0.453,0.713
"link","R",93.5,0,3,0,0,10,0,0.453,0.713
"link","R",66,1,1,0,0,10,0,0.453,0.713
"link","R",60.5,0,1,0,0,10,0,0.453,0.713
"link","R",44,0,1,0,0,10,0,0.453,0.713
"link","R",5.5,0,3,0,0,10,0,0.453,0.713
"link","R",33,0,2,0,0,10,0,0.453,0.713
"link","R",44,0,4,0,0,10,0,0.453,0.713
"link","R",55,0,1,0,0,10,0,0.453,0.713
